"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"Rv1463",202.60560804,0,227.94106585,634.46734831,687.59730222,970.41462836,865.45792782,1172.07614423,4680.5625252,190.96180461,191.50096242,199.59522941,199.82971616,189.90106202,215.39176623,176.37446475,170.70322751,229.99603226,222.50679499,206.61021049,197.40571612,225.87844493,182.63186496,176.72948308,185.53109148,166.5653719,159.24356356,639.40267449,165.4797252,154.93968055,156.01842741,143.75654925,131.27829642,191.2484714,189.12752527,145.29586043,177.69222638,206.92005643,101.57286807,198.0944064,162.79687335,161.18317327,167.49081294,173.67781322,204.48160985
"Rv1464",260.257212,269.645922,225.122814,582.8305545,958.1795625,26.8758105,539.4171675,1343.6547495,123.8675565,224.814681,220.08696,232.1219355,258.20661,222.481674,94.941345,187.145673,175.7100795,284.41299,274.4432895,271.5129105,252.8936775,277.517685,221.677875,214.628403,211.5318975,209.724807,220.4225295,380.729376,164.2390095,188.943216,189.2464245,218.669508,196.3021275,213.374364,210.5186565,213.7995795,205.491144,211.4619495,358.8001755,181.9360545,162.817035,223.5452655,212.9668365,217.2523575,243.5377305
"Rv1465",173.6036015,371.69323184,136.0198098,549.72843632,1069.95370048,0,395.40725938,631.11477772,0,227.66119866,246.34759954,254.21468464,240.48822672,240.34858456,213.1995838,194.62503914,216.03914402,301.19002228,294.40363722,292.8113909,269.85196028,292.66085828,209.72369502,193.31604656,223.25707628,236.9122882,220.29049462,988.78415048,170.19061276,231.69728456,222.60191842,237.90179336,271.67097244,244.93937146,216.9165894,202.66749118,213.09332548,235.80380222,333.25204542,215.585307,179.99874424,226.05358356,193.21772708,208.78039798,260.26540386
"Rv1466",219.72153846,7.81341726,215.43729672,663.69963534,858.90531774,0,573.28867644,786.40708884,0,238.55039166,237.80404542,241.35307728,248.49915342,228.1067973,210.63941664,246.45804774,218.83388652,363.22582908,333.04104048,331.86993666,318.08711526,342.44117892,240.08237658,270.19835088,239.60698008,259.70086074,281.91789894,0,231.71119578,309.33593244,295.59608058,291.24880284,280.53236766,204.53374968,231.88717128,195.19002846,206.8878291,255.10385538,227.82922878,361.20689106,227.123961,213.70895466,183.81749358,196.83495288,262.3547814
"Rv1467c",127.1635071,97.920294,153.4702314,46.68742278,406.57092552,0,70.50912816,196.69781058,0,42.8285466,40.44147852,37.3414668,38.3204661,39.19601628,21.80566938,38.27943264,36.74317248,72.0615777,67.5412788,62.25692262,57.47311356,68.94700572,44.60164008,47.74553622,55.3014966,43.41726984,45.98486478,0,47.2032429,65.0950533,50.42197674,41.2849554,46.22495634,51.31453086,49.49388744,47.73800154,48.3090081,49.6275771,0,49.81105674,52.08561372,48.08683686,41.24656926,46.17699912,55.6252842
"Rv1468c",158.7284895,592.4262055,216.7481658,175.3627599,206.7265568,0,200.7247344,277.2789678,0,119.7545301,118.4364145,125.7687111,119.3544964,100.6850077,99.9838091,196.4790488,251.0947412,127.5500716,146.5996379,140.5611449,133.8072713,167.6167541,105.9422751,101.1876583,116.5133353,97.6087293,122.7376125,0,151.2117256,183.4921862,131.8570437,125.2590708,86.508174,122.1795508,104.3687822,143.7713419,111.7872851,122.5538543,68.6855533,131.9639152,140.1684048,127.9904227,130.5187694,146.4388748,140.5704645
"Rv1469",71.26888692,15.65205656,136.96919782,28.48774782,142.2373477,0,49.51456713,69.7644724,0,71.82354375,74.76759535,91.76201902,81.60535243,80.43001561,127.09551729,81.89425566,76.35215119,135.54648177,124.50369302,122.50244384,108.46888899,127.62245685,96.6087003,83.79667772,69.20711651,82.49323936,74.38702789,249.82727742,92.47425943,75.36419142,68.57013835,71.11670146,81.13135597,87.56664168,93.53883098,83.59341774,88.34667002,91.73502842,119.059689,71.77309209,92.82223055,83.61719023,70.2907891,80.42150319,96.21380706
"Rv1470",61.5818222,0,141.49917819,36.2263827,170.46035559,43.67983663,52.73335507,0,0,51.89918016,41.84209235,37.43764101,43.66088477,58.08920932,163.19808099,63.9000059,57.95390867,91.19566649,85.85182811,76.23854597,75.46913953,86.26857365,75.38043701,53.84995177,59.56012765,44.55953508,53.73545909,0,58.57502169,40.48459211,46.83805664,41.68852367,34.51075092,73.02679184,65.39700746,58.38364698,62.32788073,63.82292849,0,90.46025617,95.36585721,45.20467984,54.35246913,44.02771072,71.0391911
"Rv1471",326.68702524,525.210084,169.04184252,133.32596856,302.65614672,0,175.15208748,419.55021912,0,142.7472204,158.29459968,127.25023368,151.43758404,150.04963176,173.71089948,122.65794204,155.17712376,209.04853512,204.82536408,185.1259908,172.39912428,204.8947764,156.5468406,146.0668548,130.85222328,125.83375176,139.65052896,0,165.24141996,214.09945788,71.34096288,90.39101724,50.64736596,167.81330328,145.6511652,176.06934972,161.61590076,153.30887352,45.69085572,177.9970122,180.79468164,92.9963322,113.84002836,91.07396388,150.38218344
"Rv1472",232.02438644,0,221.61751018,204.16369116,607.1728762,19.04592558,278.72946002,567.21739492,0,203.29015718,194.06400882,198.00295218,193.9103144,208.85492826,74.86964914,210.00310452,194.67673984,291.35998364,285.29183166,278.82214448,267.99677498,291.85215664,228.74134888,211.60310534,222.17244742,205.811155,203.63068242,539.61876958,214.6892737,195.63847512,173.78462948,155.39889794,166.60864968,235.39143452,226.29325114,182.7613777,249.1798804,210.09920008,362.57936594,267.56161608,234.36284168,184.18487846,196.34077188,207.65938644,229.18625378
