"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"Rv1976c",75.97344129,0,150.3903171,172.71822099,332.87431584,0,142.01212575,560.21119368,0,57.75519801,54.07064535,61.90061238,59.89329414,56.4536973,82.71025839,60.37501221,49.56407544,93.37147629,85.60705782,83.44799892,73.41172695,94.39652382,45.86441256,49.95045015,63.99986886,52.6027194,69.05806821,233.17176378,61.89646239,57.68901099,89.54678166,55.20146442,79.41580479,68.25488553,49.1092791,51.09095253,51.60108207,46.11660426,0,61.93785588,41.27835438,69.72951531,49.58791128,48.33801942,65.98260639
"Rv1977",94.637544,338.5616772,141.50526708,57.62624772,428.56428864,0,15.35721948,165.71754048,0,70.21250508,71.39599872,67.5355746,73.12457292,70.53992628,17.64660444,70.01302284,64.7390946,121.41745212,108.87896796,99.14325588,95.35915236,112.8455418,73.17991992,78.89406072,70.54318884,76.67878248,70.86117192,387.51242832,82.6488012,55.15171248,60.97573164,80.97592356,86.93999976,81.28819716,81.75602496,63.75030588,73.74364368,83.61813108,0,66.80371248,78.0299484,80.13651348,75.92722848,83.54845212,87.99788484
"Rv1978",58.33909063,0,129.87209192,42.01259268,320.38389577,0,49.56557115,81.62688451,0,37.56598876,30.59496609,31.14254858,30.6928105,32.39226981,60.95657285,39.71584559,33.00670303,55.39328972,52.91058055,47.73892235,46.31923046,56.31353824,35.63811592,32.98312805,47.52674753,34.49242135,36.36852815,0,41.01865174,55.27854716,47.62838372,44.28518778,68.74711458,41.50770893,43.95093413,38.98947243,35.0871538,40.60147351,0,50.27587046,48.73088497,40.00838966,43.17502054,38.70517136,45.20246882
"Rv1979c",142.19682204,274.1640753,128.35201761,60.75732189,223.63095792,0,43.98089685,80.77884795,0,90.04209525,90.32470758,88.2140085,85.10301423,94.25332953,56.75934087,87.19940859,93.41462121,144.3139206,136.05925017,119.66622927,120.96099465,141.61738677,101.58299277,95.47939461,94.86165657,92.22262395,84.94095681,226.62055029,111.56947542,115.67295375,111.4996458,102.93554169,99.97126491,107.64988803,103.99371453,107.80780461,115.21953177,105.88918404,68.43067485,99.63124548,114.01821762,106.76770089,112.70660655,118.60702122,114.36962436
"Rv1980c",391.43470487,0,267.76833842,338.14971047,468.90785381,49.35500317,348.12533514,65.32354224,0,249.61554486,242.11732743,240.17951507,228.33595015,252.12270347,142.66876998,254.6300559,274.90595374,341.71764594,338.90231353,307.80622037,319.07743483,323.90016098,300.93820867,303.31521715,268.54400606,321.3545291,278.71926533,982.36678518,289.7424871,302.48188806,210.39819988,225.22378241,239.12426208,353.83013611,332.4138983,307.93889016,331.73882324,329.97651489,370.7960729,342.88143813,358.8402862,309.08620765,314.6134695,317.38877808,293.82278574
"Rv1981c",422.34350431,274.29791389,275.1217651,518.34304795,402.51104439,21.85039311,686.93517529,147.10434011,59.47087419,98.83563963,106.20285676,105.99456413,105.10596187,116.50819817,30.77817106,115.44591786,109.99617902,160.29733629,152.55601543,138.11544201,138.27653294,155.96688289,127.56525691,126.17704281,116.58008999,113.57794084,121.9292529,434.91174363,128.66251489,120.63737868,65.9770839,55.92772094,67.50617692,128.10033054,121.02564292,137.05146728,137.77994685,108.55253318,0,155.85844001,119.76935152,86.70383449,90.32420488,83.32334556,145.76066505
"Rv1982A",617.58955168,437.09089357,416.94772363,65.00575278,495.80782868,0,70.97572088,233.98424494,0,69.19316981,64.45991959,57.87800998,68.92820907,53.6971862,53.40778648,60.15487898,67.08526383,148.53748314,147.52686978,135.05419898,127.03329058,150.89417442,227.44004872,179.45841908,185.23208415,214.17416599,165.20143901,0,180.63650099,185.60394345,128.5841988,158.45364323,118.17776464,238.33148235,248.94142816,231.76741847,224.77857347,216.08251627,1062.43472262,230.61650075,223.26019195,161.97479037,154.26323726,190.79617178,160.66651375
"Rv1982c",413.44645588,0,227.23234814,70.2067634,167.16181299,0,97.85853277,279.75625872,0,57.93960826,52.23271887,60.71533537,51.39061221,54.29429376,65.45710499,54.97385667,63.78069377,108.75373197,115.36219736,97.64102756,93.57596008,102.64607471,123.47005299,103.0960825,107.24636625,109.0170095,109.1964578,0,104.21681082,93.24731829,54.23742512,66.10268542,42.57649315,105.55443752,115.65885054,83.11455764,104.06952451,109.90133419,0,81.5180746,117.80720212,89.99401597,68.86436875,90.3162427,87.70713377
"Rv1983",104.37550782,2.30074914,147.65113161,60.13322616,228.86425395,11.47591317,62.60053044,174.8333925,0,81.0245652,77.62800645,79.75097943,86.25477063,74.21703639,124.82086632,97.82155206,92.8462398,104.57451591,107.08571418,100.56300126,94.13214669,109.48976271,76.02208047,78.11557077,81.51884013,69.63666003,81.73170948,228.41827341,83.94489066,93.03512697,89.08532793,67.80048312,60.44642463,78.14549349,78.01381152,77.76694908,77.38961478,82.26602805,34.48670487,90.44329137,85.05929196,76.79380062,70.45205415,69.90519444,89.69687352
"Rv1984c",55.51713856,0,80.18904738,94.52663142,161.95666084,0,90.75700218,114.3022972,0,58.26432144,61.00450382,54.89633422,63.48809454,55.28686878,45.26131272,63.2649186,61.9198892,88.36469798,85.61714174,76.0118957,73.67568884,88.24522278,58.01762382,62.16275988,63.68336182,53.3750789,54.96727262,496.96054798,52.50150984,77.56283314,47.01470462,37.10068986,48.37616186,61.75197054,61.13284632,63.64023874,51.83002188,65.94125642,75.03145234,96.0641279,57.4339688,45.8896776,45.81099198,57.00441812,65.2035904
