"","SampleID","RawReads","N_RiboClear","P_RiboClear","N_Genomic","P_Genomic","N_Splice","P_Splice","N_NoHit","P_NoHit"
"67","R006_7_S6",15971057,3868288," 24.22",10826319," 67.79",0,"  0.00",1276450,"  7.99"
"68","R006_9_S27",14211748,1449,"  0.01",2425,"  0.02",0,"  0.00",14207874," 99.97"
"69","R006_9_S7",18322141,1077558,"  5.88",3733483," 20.38",0,"  0.00",13511100," 73.74"
"70","R011_L1_30_S27",2875108,617426," 21.47",940646," 32.72",0,"  0.00",1317036," 45.81"
"71","R011_L41_22_S23",21440861,1160221,"  5.41",9290427," 43.33",0,"  0.00",10990213," 51.26"
"72","R011_L4_27_S25",12302103,30459,"  0.25",84569,"  0.69",0,"  0.00",12187075," 99.06"
"73","R011_L4_28_S26",16651959,274199,"  1.65",756092,"  4.54",0,"  0.00",15621668," 93.81"
"74","R011_L5_18_S21",16726095,150304,"  0.90",4573244," 27.34",0,"  0.00",12002547," 71.76"
"75","R011_L5_19_S22",18283094,307570,"  1.68",2049503," 11.21",0,"  0.00",15926021," 87.11"
"76","R011_L6_12_S18",314,13,"  4.14",73," 23.25",0,"  0.00",228," 72.61"
"77","R011_R1_8_S16",14840350,84315,"  0.57",698569,"  4.71",0,"  0.00",14057466," 94.72"
"78","R011_R1_9_S17",10399139,72536,"  0.70",103970,"  1.00",0,"  0.00",10222633," 98.30"
"79","R011_R2_13_S19",16342292,162613,"  1.00",1468917,"  8.99",0,"  0.00",14710762," 90.02"
"80","R011_R2_14_S20",11415180,139902,"  1.23",397554,"  3.48",0,"  0.00",10877724," 95.29"
"81","R011_R3_25_S24",21199855,640216,"  3.02",12814571," 60.45",0,"  0.00",7745068," 36.53"
"82","R011_R4_31_S28",5778106,156670,"  2.71",2129190," 36.85",0,"  0.00",3492246," 60.44"
"83","RLL_Cav_Cluster_R4_13mm_23_S26",22972270,1076666,"  4.69",4957661," 21.58",0,"  0.00",16937943," 73.73"
"84","RLL_Cav_Cluster_R4_13mm_23_S43",8352180,468,"  0.01",911,"  0.01",0,"  0.00",8350801," 99.98"
"85","RLL_Cav_R3_18mm_X_15mm_16_S23",13483605,2015053," 14.94",10114181," 75.01",0,"  0.00",1354371," 10.04"
"86","RLL_Cav_R3_18mm_X_15mm_16_S40",8583947,15954,"  0.19",24162,"  0.28",0,"  0.00",8543831," 99.53"
"87","RLL_Cav_R3_28_S15",20659221,3992563," 19.33",7312151," 35.39",0,"  0.00",9354507," 45.28"
"88","RLL_Cav_R3_28_S35",15250637,6437,"  0.04",7317,"  0.05",0,"  0.00",15236883," 99.91"
"89","RUL_Cav_R1_30mm_X_22mm_26_S27",15255498,552297,"  3.62",13480321," 88.36",0,"  0.00",1222880,"  8.02"
"90","RUL_Cav_R1_30mm_X_22mm_26_S44",7623541,2844,"  0.04",30748,"  0.40",0,"  0.00",7589949," 99.56"
"91","RUL_Cav_R1_30mm_X_22mm_7_S37",10282728,3136,"  0.03",34898,"  0.34",0,"  0.00",10244694," 99.63"
"92","RUL_Cav_R2_18mm_X_12mm_27_S28",17735117,307198,"  1.73",16849678," 95.01",0,"  0.00",578241,"  3.26"
"93","RUL_Cav_R2_18mm_X_12mm_27_S45",7226151,8832,"  0.12",187772,"  2.60",0,"  0.00",7029547," 97.28"
"94","RUL_Cav_R2_18mm_X_12mm_8_S21",12610978,296801,"  2.35",11212977," 88.91",0,"  0.00",1101200,"  8.73"
"95","RUL_Cav_R2_18mm_X_12mm_8_S38",81,11," 13.58",40," 49.38",0,"  0.00",30," 37.04"
"96","Stearic_acid_0_S29",16995974,243418,"  1.43",16451222," 96.79",0,"  0.00",301334,"  1.77"
"97","Stearic_acid_0_S46",6542275,158972,"  2.43",947264," 14.48",0,"  0.00",5436039," 83.09"
"98","Stearic_acid_14_S30",16352462,2496551," 15.27",12921387," 79.02",0,"  0.00",934524,"  5.71"
"99","Stearic_acid_14_S47",170,7,"  4.12",103," 60.59",0,"  0.00",60," 35.29"
"100","Stearic_acid_28_S16",16385178,832727,"  5.08",15286079," 93.29",0,"  0.00",266372,"  1.63"
"101","Stearic_acid_28_S36",10155062,2122951," 20.91",1304727," 12.85",0,"  0.00",6727384," 66.25"
"102","Stearic_acid_42_S17",14766416,2595021," 17.57",11720323," 79.37",0,"  0.00",451072,"  3.05"
"103","Stearic_acid_42_S37",10362403,598404,"  5.77",172802,"  1.67",0,"  0.00",9591197," 92.56"
