"","A11_S1","A12_S2","A13_S3","A15_S4","A16_S5","A17_PulledDown_S6","B11_PulledDown_S7","B12_PulledDown_S8","B13_PulledDown_S9","B15_PulledDown_S10","B16_PulledDown_S11","B17_S12","HN878_broth_R1_S1","HN878_broth_R2_S2","HN878_broth_R3_S3","HN878_mimic_D14_R1_S7","HN878_mimic_D14_R2_S8","HN878_mimic_D14_R3_S9","HN878_mimic_D28_R1_S10","HN878_mimic_D28_R2_S11","HN878_mimic_D42_R1_S12","HN878_mimic_D42_R2_S13","HN878_mimic_D42_R3_S14","HN878_mimic_D7_R1_S4","HN878_mimic_D7_R2_S5","HN878_mimic_D7_R3_S6","HN878_R1_1Probe","HN878_R2_1Probe","iMTB_0_S31","iMTB_0_S48","iMTB_14_S18","iMTB_28_S19","iMTB_28_S38","iMTB_42_S20","iMTB_42_S39","KA_2_S12","KA_2_S32","KA_3_S13","KA_3_S33","LLL_Cav_L2_20mm_18_S24","LLL_Cav_L2_20mm_18_S41","LLL_Cav_L2_20mm_21_S25","LLL_Cav_L2_20mm_21_S42","LUL_Cav_L1_15mm_12_S22","LUL_Cav_L1_15mm_12_S39","LUL_Cav_L1_15_S14","LUL_Cav_L1_15_S34","mimic_only_D42_R1_S15","R002_12_S25","R002_12_S4","R002_14_S5","R002_3_S1","R002_3_S22","R002_7_S23","R002_7_S2","R002_9_S24","R002_9_S3","R006_11_S28","R006_11_S8","R006_13_S29","R006_13_S9","R006_17_S10","R006_17_S30","R006_19_S11","R006_19_S31","R006_7_S26","R006_7_S6","R006_9_S27","R006_9_S7","R011_L1_30_S27","R011_L41_22_S23","R011_L4_27_S25","R011_L4_28_S26","R011_L5_18_S21","R011_L5_19_S22","R011_L6_12_S18","R011_R1_8_S16","R011_R1_9_S17","R011_R2_13_S19","R011_R2_14_S20","R011_R3_25_S24","R011_R4_31_S28","RLL_Cav_Cluster_R4_13mm_23_S26","RLL_Cav_Cluster_R4_13mm_23_S43","RLL_Cav_R3_18mm_X_15mm_16_S23","RLL_Cav_R3_18mm_X_15mm_16_S40","RLL_Cav_R3_28_S15","RLL_Cav_R3_28_S35","RUL_Cav_R1_30mm_X_22mm_26_S27","RUL_Cav_R1_30mm_X_22mm_26_S44","RUL_Cav_R1_30mm_X_22mm_7_S37","RUL_Cav_R2_18mm_X_12mm_27_S28","RUL_Cav_R2_18mm_X_12mm_27_S45","RUL_Cav_R2_18mm_X_12mm_8_S21","RUL_Cav_R2_18mm_X_12mm_8_S38","Stearic_acid_0_S29","Stearic_acid_0_S46","Stearic_acid_14_S30","Stearic_acid_14_S47","Stearic_acid_28_S16","Stearic_acid_28_S36","Stearic_acid_42_S17","Stearic_acid_42_S37"
"Rv1731",14,17.76,53.53,71.24,4,5392.6824,7091.74024,7244.86084,8672.40332,10077.60736,4158.68148,21.43,7898.54548,9961.13496,5571.61608,4031.37396,2781.95304,1957.1578,2940.73792,1336.95512,2593.82904,2519.30932,2085.80172,213.65952,2003.20192,1993.56956,3131,3374.26,3825.45528,69.05,0,2065.47816,28.77,2566.36088,23.64,2815.36304,3,2632.0398,4,2215.96708,3.23,3505.75756,6,3650.9934,4,3441.0244,6,476.29296,154.84,3620.4618,2569.56824,3296.03528,19.5,97.51,5153.17896,60.42,4768.1724,77.39,2676.07932,11,2576.90816,2049.55444,54.64,2220.72672,328.81,11,1848.05616,0,1395.82868,125.49824,2319.87732,0,172.704,1576.40716,284.28312,0,235.32976,16.448,185.8624,316.624,3522.40088,418.12872,799.89708,0,2015.06504,4,1576.62304,3,3892.74816,7.11,11,4537.078,42.78,3493.144,0,4571.62908,255.39,2890.87992,0,2987.85116,238.31,3293.48584,47.42
"Rv1732c",5.15,5.3,28.64,42.99,2,2788.73452,3300.39709,3320.271305,3605.706335,5057.29047,1497.66634,4.85,2813.15415,3414.543425,2458.132755,1970.1766,1231.6265,814.629915,1557.906395,751.68603,1560.269585,1781.323655,1415.156945,70.991505,1441.450095,1033.001445,1093.15,1192.88,2596.63485,48.16,0,862.52177,17.78,1448.01806,22.09,920.867015,0,1484.31751,3,1108.31482,1.65,2610.356255,6.76,1067.60834,1,654.34815,2.65,109.930915,108.42,2422.67426,1946.150835,2497.67893,15.55,56.01,2339.653905,25.09,2043.318395,51.93,1769.273515,3,1485.052015,1466.189075,36.34,1382.97711,171.69,15.27,3246.182105,0,475.44828,100.23332,1070.69539,0,63.87,351.60435,208.610065,0,79.17751,17.032,103.245855,75.100475,1257.504495,261.41991,858.34893,0,1036.812355,1.58,630.130775,0,1837.94441,4.31,5.7,1680.46228,20.95,1449.23159,0,3325.998315,151.55,1598.68739,0,1527.81298,112.51,1711.67342,25.34
"Rv1733c",19.46,13.93,97.5,90.89,4,5392.854875,8205.722125,6673.920875,11853.3315,13189.299375,2519.645625,17.15,886.228625,1253.286875,8406.639625,1508.817,187.45625,563.43675,235.282625,167.20875,192.518125,228.3295,173.4165,141.2875,3952.745875,3987.75625,143.73,143.51,2437.64325,37.59,3670.1375,591.494,13,668.85725,7,13.35,0,72.924375,0,2622.76325,1,12019.91725,32.89,1977.591125,1,1918.46175,4.32,0,1226.38,24276.886,16185.4955,13193.894,89.43,78.38,3433.052625,39.43,3121.129875,156.81,4544.951875,12,2783.94225,3440.36175,79.26,4130.545625,616.51,132.09,21946.276375,1,1961.370875,140.275125,1863.5265,0,58.09475,639.142375,58.105875,0,215.146375,0,128.949875,131.275,2071.352625,1733.797875,4212.993,1,2504.66025,6.55,2459.98225,4,3817.154375,10,5,2684.940875,20.66,975.46225,0,10390.14925,672.24,1487.4125,0,1206.027875,85.8,2103.948875,21.16
"Rv1734c",26.53,50.49,93.36,245.16,4.64,15712.76816,8912.311008,17298.679808,15656.105952,28921.686176,10445.5024,28.22,1345.372128,2284.709792,10084.840608,7214.791168,4246.984,6446.258016,8534.983072,5390.6864,4216.453984,2313.510176,2643.078816,291.570368,5440.242368,6569.598208,570.61,645.91,9986.21136,179.46,1191.783488,15206.428448,198.58,5973.277408,62.03,729.757216,0,401.556192,0,29252.072704,20.31,35680.806464,49.5,814.482368,0,1808.685568,2.7,29.4976,2208.68,35576.425184,14982.863456,40176.240704,235,37.82,2520.77104,106.08,10083.808192,490.78,16117.448416,19.23,5933.603136,20725.523264,514.54,15454.302144,5548.18,113.61,25902.71408,4.78,5020.437888,1114.553408,16154.266784,42.342464,356.036032,318.922688,363.008192,0,18.7712,13.408,234.733856,153.038912,7061.068448,2628.222752,15640.056576,0,61075.263488,123.24,51656.009408,29.86,11152.881664,17.93,7.51,26195.450944,285.04,13332.767712,0,3333.416512,151.07,5436.850144,0,17698.466144,1588.38,7512.716928,99.03
"Rv1735c",14.39,133.51,111.91,189.34,28.74,24714.038252,4891.069176,38349.90066,13350.275212,20319.272832,18484.209688,86.27,182.795216,273.866204,3611.120052,2824.712412,493.61614,380.13902,3119.575616,1919.769708,667.919236,385.150304,423.934096,161.415604,4035.688724,4485.603108,76.2,86.35,1529.990732,30.59,0,6148.304212,102.85,1010.179668,15.92,1.782412,0,24.991096,0,75314.615232,101.11,28476.000752,72.61,2239.642672,2.09,3532.34864,11.2,30.440984,4265.66,49522.488348,12874.791148,38229.79782,292.03,74.57,4186.932448,322.57,20664.948776,208.24,5478.667888,23.07,5848.392396,17016.183436,557.01,17531.384492,6536.64,273,41604.538312,12,8576.975876,1949.78142,35920.911708,80.2552,290.841112,617.349128,475.708032,0,145.196588,1.21316,668.6378,427.4056,15747.61002,2412.172688,19668.095204,3,151945.154448,506.45,114420.155928,137.53,10934.127092,37.93,14.46,35716.31694,622.77,21132.7806,0,930.21376,49.92,799.929708,0,8325.758436,751.22,1039.342168,15.22
"Rv1736c",33.86,170.59,166.8,244.82,43.97,26961.991776,14533.158672,60296.924016,23114.126736,29907.022176,25731.139968,88.19,3542.303232,4417.227648,28837.282608,7114.62312,2795.304816,3766.210992,2917.448064,1550.781072,2365.851024,2246.936976,1774.430496,438.952608,13480.677936,12854.461536,1902.46,1968.78,6698.264976,134.57,2413.4544,3698.139456,68.57,2802.806496,31.81,1016.4528,0,636.291504,1.85,195504.988608,201.73,49768.420464,91.34,7465.095648,6.03,15407.715456,27.89,115.446384,7328.73,127023.542928,16909.820064,47649.52872,342.55,182.65,9362.782224,368.36,28567.768608,388.73,13097.128464,30.89,9651.065328,26393.4936,649.16,35629.989264,7066.68,445.72,74930.30712,9.5,9170.77896,6921.755424,80915.495184,70.5456,1646.206416,2409.013008,1610.17848,0,414.3312,133.1424,2182.134384,659.939184,44726.745024,4045.909392,34223.786928,5.64,319455.555264,920.16,231058.093104,242.68,9584.623296,31.28,34.99,55436.242752,742.55,32059.94472,0,14658.084,846.11,5824.165248,0,6183.709344,495.15,5611.822992,97.36
"Rv1737c",32.46,58.32,100.01,181.77,8.58,11813.511014,13211.055718,18786.365748,17803.147582,24973.92561,10351.55914,38.35,3720.940962,4837.032998,30007.13691,4583.08819,706.770232,1448.852316,617.496926,321.79349,675.954158,641.745044,542.740984,537.421182,14617.422326,15022.0787,696.34,752.84,5090.129546,86.28,0,1445.289624,20.2,1580.756746,13.45,79.91821,0,34.911958,0,91017.728454,61.36,28934.863562,58.81,4943.077616,4,8362.958986,10.72,163.180988,2827.88,67294.331972,19305.36757,31819.965474,198.05,79.62,5928.513376,134.64,10935.574032,307.38,11215.427124,17.23,7237.620916,10703.599158,214.88,19591.085774,2713.46,134.97,33800.458686,2.5,5145.217974,3320.319882,39520.748468,66.649,1033.42304,1216.235188,1621.073332,0,335.280824,67.8608,1094.109984,427.050438,19617.818082,3711.185972,15389.145038,2,118310.918084,265.93,82764.073828,70.45,5926.36849,17.95,13.12,24004.12207,247.04,15308.24527,0,18518.085346,1010.96,5778.28653,0,2551.784204,195.28,3653.589118,39.2
"Rv1738",46.97,43.24,315.18,374.54,9.38,13725.78059,20735.992374,13282.575004,39153.667374,39269.53612,8150.687316,37.57,2230.443494,3136.991324,11972.55067,2374.838066,672.208634,1265.914832,616.5773,330.642066,560.720308,455.908804,672.567032,435.32083,5552.938968,8962.790636,828.96,976.12,7296.346128,132.35,0,1662.608322,34.23,2812.601312,33.68,84.9536,0,50.653584,0,5308.989396,4,22234.361494,45.55,576.184518,0,1268.92803,2,75.303402,1996.51,30477.342932,66759.352968,52390.234694,370.22,46.3,2399.381692,35.15,2387.381996,374.26,10847.937568,25.49,7739.551714,6880.365516,181.95,9227.328182,2101.93,212.8,39074.6738,2.22,4521.575716,124.656134,2360.024282,0,31.671764,332.5137,227.861484,0,55.81717,54.88799,283.147694,132.262136,1973.724334,6138.375464,14956.320212,2,7823.456668,19.88,5743.6598,2.32,6758.85532,15.77,3.22,4906.893388,47.3,1623.755324,0,14691.19861,1224.68,4584.57412,0,4067.312888,280.14,6575.74049,96.57
"Rv1739c",44.7,57.47,232.93,275.53,7.66,13140.31818,12353.18706,17464.81992,24828.28746,25738.96518,10018.38678,27.24,1513.05006,2250.21144,10928.04246,2385.7119,878.9544,744.80664,792.51186,439.25676,603.39438,661.89114,474.02616,326.57184,7979.10636,10300.32954,898.32,926.7,4102.22808,93.12,1190.86698,1854.0006,43.81,2475.22056,43.91,222.444,0,293.32548,0,21020.07624,21.04,13054.4067,34.09,3651.02748,3,4708.67856,8.07,181.362,1360.88,24044.52306,34407.8283,33161.83128,261.99,138.97,6719.10138,154.11,10298.6061,232.59,5702.65254,27.57,7466.93406,6015.51702,181.01,10771.2996,2154.7,132.61,20023.82772,2,4994.74956,631.7109,12752.68446,52.7553,372.6939,1319.37348,1204.43406,0,195.15954,48.096,1206.67854,321.642,8970.44508,3027.32256,11920.17276,0,39808.3077,113.12,33224.4663,40.84,7569.92964,17.81,18,18971.367,227.5,11998.13838,0,10654.0656,782.47,5093.02572,0,3077.11194,278.73,4228.87086,64.49
"Rv1740",2.09,7.39,3.64,8.27,0,1040.396585,904.913133,1605.855129,1045.726408,1431.138558,558.290851,3.76,766.424223,851.106786,1076.678301,1187.004556,858.685297,123.623785,1113.662732,464.527048,779.732564,770.748623,602.49703,18.767896,484.624697,476.862399,252.77,325.07,906.296941,16.01,0,445.694286,6.81,509.781894,7.69,451.867367,0,402.071901,0,2019.71102,2.78,743.385982,1.14,346.935801,0,765.699886,1.72,0,104.09,2229.141712,824.090097,1374.867303,4.77,14.34,650.411382,10.64,1063.186173,13.07,445.110492,0.15,328.016551,569.350504,13.77,808.576312,128.92,8.09,1273.989862,0,132.272585,113.774964,1127.490001,7.448779,19.4598,128.845498,181.365336,0.929746,2.573018,15.1354,319.043421,16.746239,942.913798,108.099189,596.01043,0,3351.074859,10.08,2874.601656,3.11,372.65517,1.86,1.69,1706.613649,19.16,1211.459038,0,668.541429,38.58,799.47345,0,730.672246,43.27,659.341268,3.47
"Rv1741",3.86,6.46,3.96,13.69,1,1056.559788,1051.433028,1471.65282,1018.894464,1483.826148,954.788148,1.19,734.98104,813.278664,771.25014,756.52434,520.518852,215.520264,663.031872,262.577376,424.53936,444.195576,314.64126,17.801856,407.675592,387.332172,335.72,363.07,666.904212,5.7,0,418.125456,6.35,477.759492,4.28,166.248828,0,290.818188,0,2325.53106,2,834.08022,1,390.244608,0.09,721.324224,1.24,0,103.09,2251.323936,609.113628,1250.994888,9.24,4.3,570.455676,9.47,1009.295424,13.41,425.172024,0.86,250.927632,527.009112,12.81,772.657272,122.14,10.12,1275.646968,0,97.964748,67.498704,1530.850536,26.517348,31.6332,193.158864,267.95502,0,66.287916,55.6308,385.946856,34.861968,1151.928432,85.13694,631.79136,4,3180.271032,7.43,2221.534188,1.03,545.094576,2.91,1,2173.20084,22.36,1008.477324,0,576.095112,38.91,588.148452,0,549.228708,40.15,590.929992,8.8
"Rv1742",4,12.59,25,37.54,1,3623.849047,3403.468068,4862.383435,4566.491839,4855.810232,2271.296118,16.22,1138.301164,1508.609648,987.593971,835.359889,540.486219,311.00888,617.946056,274.276912,450.573032,509.417818,274.071161,50.723036,591.057649,501.934979,466.32,476.07,951.858271,20.41,0,452.97707,13.5,851.819969,11.41,300.50475,0,161.698628,0,6492.440318,3,2865.819047,5.5,2468.708788,0.81,2680.556515,5,46.857083,264.35,6320.291705,1794.029601,3228.503915,22.72,68.23,3547.667032,52.35,4278.830283,28.74,739.469094,8.32,1996.499414,1361.995817,36.22,2111.124379,308.46,22.46,3470.781132,0,1261.5785,204.386546,4248.260016,0,0,780.034528,272.934116,0,100.7097,0,215.4971,122.3677,3906.34517,205.296182,1499.480801,0,12606.212164,32.96,10149.848436,14.8,2140.774181,5,3,5866.621579,63.14,3277.840839,0,840.297913,38.55,1184.324414,0,794.112228,59.68,782.925871,6.58
"Rv1743",20.28,25.57,43.23,76,4,6704.349264,7160.51664,9983.855448,8240.584608,9128.555208,5388.587208,12.77,6249.269088,7493.873904,4892.824008,3166.383024,1887.86844,936.035712,1651.413312,725.151528,1524.765384,1666.89504,1250.856216,253.893816,1853.328096,1635.768504,2700.93,2838.59,2533.436928,43.62,0,1409.967936,27.54,1430.711712,11.92,1467.589536,2,1940.782464,1,17065.604448,17.32,5562.560952,7.57,3414.047184,3.62,6742.509984,13.27,182.736576,560.27,13968.476064,3098.346048,5294.28348,35.3,72.42,5090.727024,67.8,5630.82624,65.19,2552.452056,3.69,2835.928584,2923.056792,72.93,4223.848104,579.19,41.15,7621.011072,1,831.088296,748.787256,11009.400336,52.1856,258.7536,1205.030736,525.1176,0,177.2136,18.4824,577.150992,131.93172,7440.590232,537.870456,3219.644952,1.85,24987.737304,56.54,16215.0444,17.54,3343.053024,7,9.55,12487.95972,144.51,9051.450984,0,4344.94044,228.23,2089.207008,0,2002.361472,151.95,1681.398288,31.68
"Rv1744c",1.55,6.82,9.04,16.24,0,1255.691619,1320.267195,2021.193135,1944.148284,2103.79572,877.4298,3.82,1378.083915,1727.27451,1049.180067,834.749253,401.927994,169.48035,442.287729,218.736531,398.823399,468.396864,364.550706,69.848298,388.603683,338.808015,450.38,474.39,668.516004,8.35,0,296.086752,7.18,411.94413,1.93,166.029669,0.92,197.910297,0,2809.638117,5.49,939.236688,1,610.546599,0,879.944013,2,0,85.84,1979.754426,785.900232,1024.974405,3.16,16.19,1133.543619,13.34,1269.514701,13.07,541.085103,2.84,708.020703,564.853068,17.01,804.619413,102.78,5.7,910.857636,0,352.386801,78.520806,1270.125441,54.9666,124.1838,202.5621,124.580781,0,83.4678,0,49.785489,0,1301.659983,67.130505,602.841096,0,3656.052504,10.04,2854.415538,1.36,776.728953,2,0.14,2249.162019,22.03,1506.145914,0,712.560537,38.86,278.049564,0,477.160983,40.09,745.703361,10.64
"Rv1745c",6.07,10.55,19.31,26.93,6,2321.897055,2441.936154,3561.602586,2888.650215,3394.232532,2400.806346,10,2471.516478,3036.892959,1681.168719,1427.701404,1046.324772,1079.913303,1013.528136,486.747399,910.508688,932.596467,916.551456,117.675597,539.487606,577.291455,762.04,819.26,1221.004626,22.49,0,595.894896,9.41,942.074841,10,543.654192,0,595.7487,0,4105.658817,5,1896.661623,4,1443.07635,1.09,2835.861276,3,114.5202,107.43,3291.736953,1522.814085,2061.144306,10,46.18,2612.546886,30,2447.783994,24.04,1201.438728,0,1141.108512,1119.386223,25.36,1464.128574,180.97,7.74,1816.290372,0,1100.819331,144.356367,2620.478019,0,4.8732,546.224805,474.905523,0,71.258367,46.2954,188.190801,31.6758,2521.491144,132.526674,1420.854558,1,5482.155072,20.01,6329.129415,6,1592.598309,2,1,3897.816837,31.36,3061.405155,0,1090.561245,61.19,1834.930362,0,1024.602483,77.22,1116.437937,14
"Rv1746",15.07,24.22,33.27,52.93,1,5185.1745,6003.6273,6658.3638,7795.458,8336.7405,4626.3888,21.72,4411.0242,5137.9911,1903.275,1333.7082,791.6238,611.9289,708.345,323.6607,703.8603,774.477,603.2169,127.3635,634.3128,690.0399,1099.8,1146.46,1301.0382,22.97,0,853.6374,5.41,1048.8258,11.35,841.9257,0,738.6489,1,11279.6739,14.11,4157.802,9.85,3222.3807,2.05,4379.0472,8.11,228.69,239.43,6132.7134,2009.2743,2438.6472,18.04,99.12,4611.3507,71.3,4753.1088,32.39,883.1592,9.43,2098.4139,1139.7969,28.53,1779.6339,226.89,14.03,2696.1066,1,306.2466,524.898,6523.1892,24.75,80.19,1097.9793,306.4149,0,185.9814,54.6381,428.2047,114.84,5574.6009,226.8684,1629.9855,0,12900.0762,35.22,7720.9308,4.22,2918.4012,8.38,7,8094.9726,89.72,4732.9128,0,2235.2715,126.49,1151.5482,0,791.9208,62.84,819.0468,13.3
"Rv1747",22.01,34.51,97.42,126.99,5,10484.52324,14094.403392,14621.575008,17194.034712,18236.616816,9170.669736,47.58,14022.553968,16925.338968,7705.45248,6114.265992,3220.03548,2708.659152,3548.229912,1677.74508,2546.620392,2698.38756,2288.216928,380.173032,3431.849568,3140.107392,7083.64,7791.53,5146.264128,84.76,603.0552,2899.78524,43.51,3051.9972,38.64,7769.06808,6.24,5265.344256,8,15023.708352,15.34,8220.852624,21,5925.850032,6.73,8423.046792,18.36,584.436,489.82,10032.118056,5756.063616,6549.810456,66.61,157.89,9249.65652,115.59,8895.043512,171.97,5456.366904,15.7,5077.631688,4231.957968,113.04,4334.973864,685.57,22.96,6492.20472,3,1832.243064,740.278704,9262.658928,0,246.1872,2491.517904,458.29092,0,463.938744,67.236,550.704216,119.9904,10088.130816,856.876272,3590.723064,2,18933.626568,48.47,13496.38572,17,6370.466184,22.78,20.96,14830.637592,152.8,9070.539816,0,10191.508752,489.49,7259.895024,0,4279.798968,333.64,3718.1508,47.03
"Rv1748",6,9.34,33.31,32.68,5.53,3233.669936,3509.44958,4338.649336,4385.658172,4910.659264,1710.751308,13.23,1344.344008,1557.122784,809.946676,820.918168,545.313552,267.507268,754.757584,287.23016,939.48582,1085.505232,720.967968,26.244988,300.384896,286.880104,579.31,591.72,1232.206332,16.99,0,564.594268,6.05,1038.477972,21.26,496.34256,0.89,1120.206836,2,2443.06846,2,1625.945636,3.96,1551.871944,2,1815.261448,5.24,204.5064,72.23,1392.845188,1026.649764,1140.620628,6.12,60.89,2977.677668,33.62,2559.977952,14.16,464.082136,3.86,1370.856144,454.538504,11.15,708.319892,121.16,5.99,868.203364,0,143.75326,140.400092,1934.206792,0,56.1932,393.16816,50.334368,0,135.55458,6.4484,91.484372,43.2964,2484.66064,150.376688,685.824188,0,2742.790092,9.92,1344.30716,4.49,1748.62184,10.09,8.64,3033.870868,32.42,1938.71146,0,1011.15518,49.57,575.252552,0,500.386628,34.11,1010.022104,18.16
"Rv1749c",9,7.86,20.84,32.41,1.53,2149.362318,2355.593904,2802.667242,3381.024972,3778.142736,1151.910798,6.42,2286.54879,2556.974718,1505.712828,1055.559342,800.672484,272.759094,743.302422,283.493502,624.578394,675.078066,471.170424,83.007222,385.627152,481.425288,1207.53,1345.64,1109.572596,25.14,3.6888,529.370466,7,741.153696,9.8,1246.805178,0.16,701.416098,1,1498.326006,0,1176.736422,2.09,1264.98174,2,785.39163,0.81,37.634982,56.76,1116.894864,1136.1504,1082.423028,13.47,43.46,2009.436912,22.01,1633.926294,18.61,543.627678,1,1112.459082,475.006776,18,592.273728,112.64,9.54,902.363478,0,131.59794,76.0815,1531.737312,0,27.914994,475.145106,187.2066,0,128.425572,26.7438,213.138864,43.269624,1551.859716,143.58654,493.312446,0,1773.381378,5.12,1389.321966,1,1479.568458,3.01,5.47,2301.774312,20.08,879.142482,0,2051.507676,129.65,1125.443658,0,664.555764,72.99,863.806296,21.54
"Rv1750c",15.82,11.42,42.72,58.38,3.8,4884.20537,5049.21978,7041.86959,7548.30622,8062.96397,3829.4111,26,1523.16354,1921.40755,1762.57015,1109.94056,736.20353,614.75212,776.00224,255.59194,520.82359,720.93414,429.53118,53.37026,586.07873,572.14974,537.54,646.31,1289.23023,19.81,0,662.9395,7,1269.90613,16.3,433.396,2,873.54985,1.72,3525.38604,5,2292.73186,8,2709.85317,4,3674.36033,2,251.325,106.53,1912.43804,3496.89137,2105.50032,17,99.76,4928.77367,61.73,4444.01801,29.39,700.41485,6.97,2251.96136,581.27563,10,909.69597,130.77,11,1954.73883,1.86,578.18154,153.07368,2570.87603,0,175.369,1170.40377,233.453,0,255.4579,0,147.24294,147.444,3663.92755,189.13044,690.20547,0,4333.1781,12,3524.01213,2,3825.66915,12.35,19,6372.19458,79.58,4262.51668,0,1291.12913,78.99,1710.67433,0,807.63568,81.24,969.73472,13.09
"Rv1751",15.64,8,60.65,62.61,2,4320.481194,7208.665711,6486.983449,8422.956168,7758.435095,3142.744998,19.62,10089.007449,12011.273629,10359.881748,3582.453701,2334.991116,1336.863983,1658.156147,725.6403,1648.805544,1672.700366,1272.058964,209.252464,2771.904062,2878.708262,5679.35,6084.96,3711.089936,75.18,340.3075,1428.160632,18.36,1840.026946,28.74,5464.479828,3,5770.379622,2,3562.883402,4,3624.819367,13,3034.097902,1,3141.813079,4,457.5827,186.97,4194.127637,2380.58185,2758.616363,23.64,100.81,4589.763901,56.39,4130.882797,102.55,2695.685653,7.81,2941.785566,1947.312812,47.58,1813.545787,295.41,9.96,2059.373454,0,1081.570532,237.90112,2966.769372,0,129.672864,808.842866,126.6991,0,165.4418,0,152.237869,127.212179,3461.901078,585.967631,893.1763,0,3945.001605,11,5229.615298,7.73,3385.515133,7.11,13,5763.845718,61.41,3538.800102,0,10922.174448,624.11,2297.494465,0,1978.160378,179.01,2941.659914,44.62
"Rv1752",5.26,4.58,15.57,16.12,0,1589.220135,1854.1492,2012.10399,2344.577675,2424.596365,641.040525,6,997.77531,1225.61495,709.39027,352.88092,181.389295,154.337095,156.47336,95.17651,139.673085,178.168795,116.270785,19.45182,256.448415,231.6613,742.93,750.81,381.75807,5.28,0,269.85643,0.47,369.24106,4,796.440385,2.03,639.322925,0,793.219885,0,644.50793,2,826.83117,0,1850.41342,1,161.81939,21.01,571.713895,701.53225,1128.345115,7.82,31.3,1904.442675,23.15,1518.175905,7.89,407.017525,0,738.3533,388.982725,9.15,299.667525,47.7,3.47,760.692835,0,196.21433,26.45104,946.623035,0,39.7195,232.7348,91.2475,0,21.47,0,38.699675,0,1015.12307,65.71967,158.266105,0,1033.97373,1,535.6765,1,1015.48806,4.31,1.41,1240.053525,10.04,687.544545,0,566.324925,22.19,372.11804,0,175.23814,9.49,256.69532,5.7
"Rv1753c",54.22,35.02,117.06,157.54,6,14627.632136,15201.389554,16442.936016,18642.607074,19414.97298,8538.154872,50.33,1696.707272,2147.097992,2308.966972,1563.76506,1286.856428,551.665816,1465.905584,708.203288,1413.077328,1605.494514,1181.86341,74.028656,1298.410646,1539.592678,1987.58,2255.84,4453.285356,125.55,0,2400.152248,51.19,2761.320692,49.69,2118.014184,0.51,1445.482532,1,7862.411752,6.02,7426.46086,18.5,7966.14845,8.02,10883.986984,30.75,449.515222,156.04,2312.779118,7160.596066,5883.609602,59.84,269.5,9720.42266,182.96,11426.70152,65.93,1656.960448,29.58,7580.136278,1482.057148,47.66,1298.99562,265.55,35.88,6560.671858,5,3024.09965,445.726632,5612.052108,30.2302,447.783856,2282.24269,583.792274,0,640.786016,14.274936,195.18109,214.956352,7234.098638,671.919196,1898.232778,2,7856.106596,30.84,8080.026006,5,8546.29347,32.03,48.04,11895.03406,183.61,7525.953552,0,3230.96059,249.95,2199.812394,0,2273.334596,231.28,3079.786034,100.76
"Rv1754c",12.15,18,52.97,57.84,0,4704.954156,5436.21246,6688.00566,7239.508024,7463.41386,3239.535264,12,5056.775472,6068.597668,1745.885064,1616.171536,929.12176,505.134224,1056.490008,352.886464,676.945528,813.968512,357.401128,91.07504,437.746512,522.235224,2737.09,3113.61,1806.20762,40.26,0,1390.926936,32.93,1492.52642,24.73,1212.783376,1,1594.184536,2,3519.004692,4,3244.225824,7,3574.460792,1,6909.263284,15,421.22206,74.45,1461.431916,3445.636516,3413.06644,26.39,141.68,5977.278328,86.95,6112.083068,42.41,1150.35984,11.11,2881.283972,761.053132,27,1051.887396,176.84,22.38,2575.811252,2,507.1668,212.316244,2060.650956,56.6776,72.3128,1726.458328,173.64844,0,168.156576,0,201.3032,119.2184,3496.37274,296.619288,766.1248,0,3146.271296,7,1677.295396,2,4702.022556,12,15,6690.214132,69.38,3164.144284,0,2181.227664,146.28,2006.1916,0,1219.467424,104.97,1631.445172,37
"Rv1755c",0.01,0.02,0.28,0.17,0,50.6953,146.37895,71.94525,132.92405,96.0212,66.9134,0.01,21.4148,24.7432,31.6041,42.8453,25.80295,18.76935,21.3206,40.24695,20.30795,18.2591,44.5723,22.7022,57.86235,102.4425,4.3,3.87,65.11575,0.2,0,73.46815,0.01,101.90085,1.04,23.19675,0.5,1.97035,0,9.12955,0,54.1493,0,19.5779,0,7.9442,0,269.70245,0.09,10.9586,92.95185,39.4384,0.03,1.03,30.2853,0.01,33.1427,0.41,61.2928,0,57.4306,21.45405,0.03,35.4349,1.31,0.01,23.25955,0.5,181.87665,2.15875,13.9416,0,0.3454,16.8618,0,0,0.44745,0,0.55735,0,48.58365,18.3062,19.61715,0,9.1217,0.01,0.1099,0,34.9639,0,0,43.5047,0.01,20.6769,0,46.3778,0.54,57.97225,0,182.277,2.16,51.6687,0.29
